"Layer","Screen","Element","Expected Link","Actual Link","Status","Fix Needed"
"Nav","Desktop Sidebar","Home","/","/","✅ OK",""
"Nav","Desktop Sidebar","Search","/search","/search","✅ OK",""
"Nav","Desktop Sidebar","Creator Studio","/creator-studio","/creator-studio","✅ OK",""
"Nav","Desktop Sidebar","Vault","/vault","/vault","✅ OK",""
"Nav","Desktop Sidebar","Planner","/planner","/planner","✅ OK",""
"Nav","Desktop Sidebar","Platforms","/platforms","/platforms","✅ OK",""
"Nav","Desktop Sidebar","Analytics","/analytics","/analytics","✅ OK",""
"Nav","Desktop Sidebar","Community","/community","/community","✅ OK",""
"Nav","Desktop Sidebar","Screen Record","/record","/record","✅ OK",""
"Nav","Desktop Sidebar","Persona Engine","/persona-engine","/persona-engine","✅ OK",""
"Nav","Desktop Sidebar","Capital Builder","/capital-builder","/capital-builder","✅ OK",""
"Nav","Desktop Sidebar","Marketplace","/marketplace","/marketplace","✅ OK",""
"Nav","Desktop Sidebar","Collaboration","/collaboration","/collaboration","✅ OK",""
"Nav","Desktop Sidebar","Project Map","/project-map","/project-map","✅ OK",""
"Nav","Desktop Sidebar","Settings","/settings","/settings","✅ OK",""
"Nav","Desktop Sidebar","User avatar","/settings","/settings","✅ OK",""
"Nav","Mobile Bottom Nav","Home","/","/","✅ OK",""
"Nav","Mobile Bottom Nav","Creator Studio","/creator-studio","/creator-studio","✅ OK",""
"Nav","Mobile Bottom Nav","Vault","/vault","/vault","✅ OK",""
"Nav","Mobile Bottom Nav","Planner","/planner","/planner","✅ OK",""
"Nav","Mobile Bottom Nav","User avatar","/settings or /creator/:username","/settings or /creator/:username","✅ OK",""
"Page","Home","Upcoming Post empty state — 'Schedule a post' button","/creator-studio","/creator-studio","✅ OK",""
"Page","Home","Quick Actions — 'Community Post' button","Opens CreatePostOverlay","Opens CreatePostOverlay","✅ OK",""
"Page","Home","Quick Actions — 'Vault' button","Opens VaultOverlay","Opens VaultOverlay","✅ OK",""
"Page","Home","Quick Actions — 'Planner' button","Opens PlannerOverlay","Opens PlannerOverlay","✅ OK",""
"Page","Home","Quick Actions — 'Creator Studio' button","/creator-studio","/creator-studio","✅ OK",""
"Page","Home","Next Scheduled Post section — 'Open Planner' link","/planner","/planner","✅ OK",""
"Page","Home","Recent Vault Uploads section — 'View All' link","/vault","/vault","✅ OK",""
"Page","Home","Connected Platforms section — 'Manage' link","/platforms","/platforms","✅ OK (Fixed this session)",""
"Page","Home","Community section — action link","/community","/community","✅ OK",""
"Page","Home","Activity stats — 'Analytics' link","/analytics","/analytics","✅ OK",""
"Page","Home","PlatformStatusSection — empty state 'Connect platforms' button","/platforms","/platforms","✅ OK (Fixed this session)",""
"Page","Home","PlatformStatusSection — unconnected platform chip buttons (e.g. + TikTok)","/platforms","/platforms","✅ OK (Fixed this session)",""
"Overlay","CreatePostOverlay — Post tab","Community feed notice 'Creator Studio' link","/creator-studio","/creator-studio","✅ OK (Fixed this session)",""
"Overlay","CreatePostOverlay — Post tab","'Schedule' button","/creator-studio","/creator-studio","✅ OK (Fixed this session)",""
"Overlay","CreatePostOverlay — Post tab","Save mutation payload","{type, text}","{type, text}","✅ OK (Fixed this session)",""
"Overlay","CreatePostOverlay — Idea tab","Save mutation payload","{type:'idea', text}","{type:'idea', text}","✅ OK (Fixed this session)",""
"Overlay","CreatePostOverlay — Record tab","'Open Record Studio' button","/record","/record","✅ OK",""
"Overlay","VaultOverlay","Add mutation payload","{type, text}","{type, text}","✅ OK (Fixed this session)",""
"Overlay","VaultOverlay","Filter tabs — filter by","item.type","item.type","✅ OK (Fixed this session)",""
"Overlay","VaultOverlay","Item display — title/body","item.text (first line / rest)","item.text (first line / rest)","✅ OK (Fixed this session)",""
"Overlay","VaultOverlay","Type selector choices","idea, caption only (text-only)","idea, caption only","✅ OK (Fixed this session)",""
"Overlay","VaultOverlay","'Open Full Vault' button","/vault","/vault","✅ OK",""
"Overlay","PlannerOverlay","'Open Planner' button","/planner","/planner","✅ OK",""
"Page","VaultDashboard","Item 'Send to Studio' button","/creator-studio?vaultItemId=","/creator-studio?vaultItemId=","✅ OK (Fixed earlier)",""
"Page","VaultDashboard","'Send to Planner' button","/planner","/planner","✅ OK",""
"Page","Analytics","Back button (both states)","/","/","✅ OK",""
"Page","Analytics","'Create your first post' button (empty state)","/creator-studio","/creator-studio","✅ OK",""
"Page","Analytics","Amber banner 'Platforms' link","/platforms","/platforms","✅ OK (Fixed this session)",""
"Page","Analytics","Platform section — 'Connect platforms →' button","/platforms","/platforms","✅ OK (Fixed this session)",""
"Page","Analytics","Avg. Growth stat value","— (no real data)","+10.5% hardcoded","✅ OK (Fixed this session)",""
"Page","Analytics","'Go Post' button","/community","/community","✅ OK",""
"Component","SphereIntelPanel","Script → 'Post to Community'","/community","/community","✅ OK",""
"Component","SphereIntelPanel","Script → 'Add to Planner'","/planner","/planner","✅ OK",""
"Component","SphereIntelPanel","'Record' launch action","/record","/record","✅ OK",""
"Component","SphereIntelPanel","'Vault' launch action","/vault","/vault","✅ OK",""